,gf,ga,xg,xga,poss,attendance,notes,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,target,goal_diff,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
586,0.0,3.0,0.5,2.1,57.0,40072.0,,8.0,0.0,18.6,0.0,0,0,2023,0,1,20,1,0,-3,1.0,1.0,10.666666666666666,5.0,17.633333333333333,0.6666666666666666,0.0,0.0
587,0.0,2.0,0.6,2.3,39.0,25950.0,,14.0,4.0,21.7,1.0,0,0,2023,1,14,21,4,0,-2,0.6666666666666666,2.0,10.333333333333334,4.333333333333333,17.833333333333332,0.0,0.0,0.0
588,0.0,1.0,0.6,1.2,58.0,14129.0,,9.0,1.0,21.1,0.0,0,0,2023,0,11,18,5,0,-1,0.6666666666666666,2.0,12.666666666666666,5.0,18.633333333333336,0.3333333333333333,0.0,0.0
589,0.0,1.0,0.6,1.1,45.0,19969.0,,9.0,2.0,17.4,0.0,0,0,2023,1,13,14,5,0,-1,0.0,2.0,10.333333333333334,1.6666666666666667,20.46666666666667,0.3333333333333333,0.0,0.0
590,0.0,3.0,0.5,3.3,53.0,53253.0,,7.0,1.0,23.2,0.0,0,0,2023,0,2,18,5,0,-3,0.0,1.3333333333333333,10.666666666666666,2.3333333333333335,20.066666666666666,0.3333333333333333,0.0,0.0
591,1.0,0.0,1.5,1.2,52.0,19675.0,,13.0,6.0,20.6,0.0,0,0,2023,1,17,14,6,1,1,0.0,1.6666666666666667,8.333333333333334,1.3333333333333333,20.566666666666666,0.0,0.0,0.0
592,1.0,0.0,0.7,1.2,45.0,32214.0,,7.0,2.0,17.8,0.0,0,0,2023,0,15,18,6,1,1,0.3333333333333333,1.3333333333333333,9.666666666666666,3.0,20.4,0.0,0.0,0.0
593,0.0,0.0,1.6,0.7,51.0,21044.0,,18.0,4.0,19.0,1.0,0,0,2023,1,12,18,6,0,0,0.6666666666666666,1.0,9.0,3.0,20.53333333333333,0.0,0.0,0.0
594,1.0,2.0,1.0,2.4,53.0,51396.0,,17.0,3.0,20.8,1.0,0,0,2023,0,4,16,5,0,-1,0.6666666666666666,0.0,12.666666666666666,4.0,19.133333333333336,0.3333333333333333,0.0,0.0
595,0.0,3.0,0.5,1.8,48.0,14755.0,,6.0,3.0,17.2,0.0,0,0,2023,0,5,16,6,0,-3,0.6666666666666666,0.6666666666666666,14.0,3.0,19.2,0.6666666666666666,0.0,0.0
